_id,source,category,collected_at,data.country,data.year,data.value,data.indicator
69885d7c33f15a5559beb18a,who,health,2026-02-08 09:55:08.647,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6988c0ca379612aefbdf601d,who,health,2026-02-08 16:58:50.469,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6988c0ca379612aefbdf601e,who,health,2026-02-08 16:58:50.472,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6988c0ca379612aefbdf601f,who,health,2026-02-08 16:58:50.473,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6988c0ca379612aefbdf6020,who,health,2026-02-08 16:58:50.475,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6988c0ca379612aefbdf6021,who,health,2026-02-08 16:58:50.476,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6988c22be1ddf54a10fb5054,who,health,2026-02-08 17:04:43.499,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6988c22be1ddf54a10fb5055,who,health,2026-02-08 17:04:43.500,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6988c22be1ddf54a10fb5056,who,health,2026-02-08 17:04:43.501,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6988c22be1ddf54a10fb5057,who,health,2026-02-08 17:04:43.501,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6988c22be1ddf54a10fb5058,who,health,2026-02-08 17:04:43.502,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6988c87d23dde3030b746155,who,health,2026-02-08 17:31:41.384,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6988c87d23dde3030b746156,who,health,2026-02-08 17:31:41.384,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6988c87d23dde3030b746157,who,health,2026-02-08 17:31:41.385,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6988c87d23dde3030b746158,who,health,2026-02-08 17:31:41.385,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6988c87d23dde3030b746159,who,health,2026-02-08 17:31:41.386,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6988c988d5c2a5e6794fd31a,who,health,2026-02-08 17:36:08.880,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6988c988d5c2a5e6794fd31b,who,health,2026-02-08 17:36:08.881,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6988c988d5c2a5e6794fd31c,who,health,2026-02-08 17:36:08.882,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6988c988d5c2a5e6794fd31d,who,health,2026-02-08 17:36:08.882,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6988c988d5c2a5e6794fd31e,who,health,2026-02-08 17:36:08.882,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6988cb9bddee7a369523d089,who,health,2026-02-08 17:44:59.797,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6988cb9bddee7a369523d08a,who,health,2026-02-08 17:44:59.798,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6988cb9bddee7a369523d08b,who,health,2026-02-08 17:44:59.798,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6988cb9bddee7a369523d08c,who,health,2026-02-08 17:44:59.799,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6988cb9bddee7a369523d08d,who,health,2026-02-08 17:44:59.799,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989dce47090f0dfeb948ffc,who,health,2026-02-09 13:11:00.021,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989dce47090f0dfeb948ffd,who,health,2026-02-09 13:11:00.022,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989dce47090f0dfeb948ffe,who,health,2026-02-09 13:11:00.023,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6989dce47090f0dfeb948fff,who,health,2026-02-09 13:11:00.023,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989dce47090f0dfeb949000,who,health,2026-02-09 13:11:00.024,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989ed1c965a6a7ada102218,who,health,2026-02-09 14:20:12.800,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989ed1c965a6a7ada102219,who,health,2026-02-09 14:20:12.801,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989ed1c965a6a7ada10221a,who,health,2026-02-09 14:20:12.802,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6989ed1c965a6a7ada10221b,who,health,2026-02-09 14:20:12.802,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989ed1c965a6a7ada10221c,who,health,2026-02-09 14:20:12.802,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989f2b448dc8b6da506d074,who,health,2026-02-09 14:44:04.127,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989f2b448dc8b6da506d075,who,health,2026-02-09 14:44:04.128,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989f2b448dc8b6da506d076,who,health,2026-02-09 14:44:04.128,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6989f2b448dc8b6da506d077,who,health,2026-02-09 14:44:04.128,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6989f2b448dc8b6da506d078,who,health,2026-02-09 14:44:04.129,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6989f44a9c9acb53fdd8caf9,who,health,2026-02-09 14:50:50.609,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6989f44a9c9acb53fdd8cafa,who,health,2026-02-09 14:50:50.610,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6989f44a9c9acb53fdd8cafb,who,health,2026-02-09 14:50:50.610,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
