doc_id,topic,topic_words,keywords
6987b946ec7a28bbb0656e54,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987b946ec7a28bbb0656e55,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987b946ec7a28bbb0656e56,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987b946ec7a28bbb0656e57,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987b946ec7a28bbb0656e58,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987bd3ad6f9797808ba9991,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987bd3ad6f9797808ba9992,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987bd3ad6f9797808ba9993,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987bd3ad6f9797808ba9994,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987bd3ad6f9797808ba9995,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987c213f3c0d1fdb35de10e,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987c213f3c0d1fdb35de10f,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987c213f3c0d1fdb35de110,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987c213f3c0d1fdb35de111,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987c213f3c0d1fdb35de112,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987c4c7c6b97fbd8769ac64,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987c4c8c6b97fbd8769ac65,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987c4c8c6b97fbd8769ac66,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987c4c8c6b97fbd8769ac67,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987c4c8c6b97fbd8769ac68,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987c570f6e83fcbb459e63d,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987c570f6e83fcbb459e63e,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987c570f6e83fcbb459e63f,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987c570f6e83fcbb459e640,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987c570f6e83fcbb459e641,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987c7b3c978d27d3ed40531,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987c7b3c978d27d3ed40532,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987c7b3c978d27d3ed40533,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987c7b3c978d27d3ed40534,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987c7b3c978d27d3ed40535,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987c92dafef768d271ddfe7,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987c92dafef768d271ddfe8,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987c92dafef768d271ddfe9,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987c92dafef768d271ddfea,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987c92dafef768d271ddfeb,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987cb60d6f9797808ba9ae7,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987cb60d6f9797808ba9ae8,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987cb60d6f9797808ba9ae9,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987cb60d6f9797808ba9aea,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987cb60d6f9797808ba9aeb,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987d9b6d6f9797808ba9c57,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987d9b6d6f9797808ba9c58,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987d9b6d6f9797808ba9c59,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987d9b6d6f9797808ba9c5a,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987d9b6d6f9797808ba9c5b,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
69881bfcac3ba81db90bb0a2,"utara, maghribi, lemah","utara, maghribi, lemah, ketika, gempa, dua, dilanda, bumi, berdepan, bencana","utara maghribi dilanda, berdepan bencana banjir, maghribi dilanda dua, dilanda dua gempa, dua gempa bumi"
69881bfcac3ba81db90bb0a3,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
69881bfcac3ba81db90bb0a4,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
69881bfcac3ba81db90bb0a5,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
69881bfcac3ba81db90bb0a6,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
69881f9af594ab54e7475a90,"utara, maghribi, lemah","utara, maghribi, lemah, ketika, gempa, dua, dilanda, bumi, berdepan, bencana","utara maghribi dilanda, berdepan bencana banjir, maghribi dilanda dua, dilanda dua gempa, dua gempa bumi"
69881f9af594ab54e7475a91,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
69881f9af594ab54e7475a92,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
69881f9af594ab54e7475a93,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
